Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
100,Information & Decision Sciences,Bachelors,"$73,200","$126,800",36%
101,Applied Physics,Bachelors,"$75,800","$126,500",53%
102,Building Construction (BC),Bachelors,"$73,200","$125,900",51%
102,Petroleum Land Management,Bachelors,"$66,600","$125,900",-
104,Industrial Engineering & Management,Bachelors,"$74,800","$125,700",54%
105,Accounting & Economics,Bachelors,"$74,500","$125,400",48%
105,Psychobiology,Bachelors,"$58,600","$125,400",69%
107,Finance & Economics,Bachelors,"$70,300","$124,800",42%
108,Medicine,Bachelors,"$88,700","$124,700",94%
109,Asian Studies,Bachelors,"$53,100","$123,800",43%
110,Marketing & International Business,Bachelors,"$59,600","$123,500",36%
111,Government,Bachelors,"$63,500","$123,400",45%
112,Business Computer Information Systems (BCIS),Bachelors,"$74,200","$123,300",40%
112,Finance & Real Estate,Bachelors,"$73,500","$123,300",42%
114,Biochemistry & Molecular Biology,Bachelors,"$61,700","$123,100",70%
114,Environmental Health & Safety Management,Bachelors,"$67,500","$123,100",61%
114,Financial Economics,Bachelors,"$70,500","$123,100",36%
117,Business Economics,Bachelors,"$66,500","$122,800",45%
117,Nuclear Engineering Technology (NET),Bachelors,"$92,500","$122,800",54%
119,Mathematics,Bachelors,"$72,300","$122,700",44%
120,Civil Engineering (CE),Bachelors,"$73,400","$122,600",65%
121,Business Information Systems,Bachelors,"$73,800","$122,200",45%
121,Information Systems Management,Bachelors,"$69,500","$122,200",48%
121,Polymer Science & Engineering,Bachelors,"$82,900","$122,200",-
124,Information Security & Assurance,Bachelors,"$70,000","$122,000",42%
124,Applied Economics,Bachelors,"$69,200","$122,000",41%
126,International Management,Bachelors,"$63,100","$121,900",42%
126,Political Communication,Bachelors,"$56,000","$121,900",51%
126,Economics & Political Science,Bachelors,"$64,200","$121,900",46%
129,Accounting & Computer Systems,Bachelors,"$75,400","$121,800",-
129,Civil & Environmental Engineering,Bachelors,"$73,500","$121,800",66%
129,Construction Management,Bachelors,"$71,800","$121,800",59%
129,Construction Science,Bachelors,"$77,500","$121,800",67%
133,Control Engineering,Bachelors,"$77,700","$121,700",59%
134,Russian Studies,Bachelors,"$56,500","$121,600",41%
135,Cybersecurity,Bachelors,"$72,600","$121,500",56%
136,Robotics & Automation,Bachelors,"$72,700","$121,200",69%
137,Computer Management Information Systems (CMIS),Bachelors,"$63,900","$121,100",50%
138,Aeronautical Science,Bachelors,"$64,200","$121,000",62%
138,Manufacturing Engineering,Bachelors,"$77,500","$121,000",50%
140,Information Systems (IS),Bachelors,"$73,000","$120,600",45%
141,Engineering Management,Bachelors,"$77,400","$120,500",53%
142,Computing & Information Systems (CIS),Bachelors,"$68,900","$120,000",46%
143,Mechanical,Bachelors,"$79,800","$119,900",41%
144,Business Logistics & Transportation,Bachelors,"$64,700","$119,800",42%
145,Biosystems Engineering,Bachelors,"$72,600","$119,500",69%
146,Agricultural Economics,Bachelors,"$61,700","$119,400",57%
147,Data Processing,Bachelors,"$73,700","$119,300",42%
147,Food Marketing,Bachelors,"$65,000","$119,300",29%
147,Geophysics,Bachelors,"$62,700","$119,300",42%
150,Management & Finance,Bachelors,"$64,100","$118,800",61%
151,Business Finance,Bachelors,"$65,200","$118,600",44%
151,Construction Engineering,Bachelors,"$75,700","$118,600",60%
151,Organic Chemistry,Bachelors,"$50,600","$118,600",-
154,Real Estate,Bachelors,"$69,400","$118,500",42%
155,Finance,Bachelors,"$68,500","$118,400",42%
155,Plastics Engineering Technology,Bachelors,"$73,600","$118,400",34%
157,European Studies,Bachelors,"$60,900","$118,100",41%
157,Safety Science,Bachelors,"$70,000","$118,100",68%
159,Computer Science & Information Technology,Bachelors,"$73,500","$118,000",48%
160,Japanese Language,Bachelors,"$59,900","$117,900",39%
161,Information Sciences and Technology,Bachelors,"$72,900","$117,800",45%
161,International Business,Bachelors,"$63,100","$117,800",40%
163,Architectural Engineering,Bachelors,"$74,600","$117,700",57%
164,International Marketing,Bachelors,"$66,700","$117,600",25%
164,Molecular Biology,Bachelors,"$61,700","$117,600",66%
166,Building Construction Management,Bachelors,"$70,500","$117,500",67%
167,Business Operations,Bachelors,"$71,300","$117,400",-
168,Computer Information Systems (CIS),Bachelors,"$69,400","$117,300",47%
168,Electrical Engineering Technology (EET),Bachelors,"$74,000","$117,300",48%
170,Government & International Politics (GVIP),Bachelors,"$58,100","$117,200",44%
171,Information Security,Bachelors,"$75,000","$117,100",40%
172,East Asian Studies,Bachelors,"$57,500","$116,900",49%
173,Strategic Management,Bachelors,"$74,900","$116,700",48%
174,Labor Relations,Bachelors,"$55,700","$116,600",35%
175,Entrepreneurship & Leadership,Bachelors,"$64,300","$116,400",43%
176,Agricultural Engineering (AE),Bachelors,"$71,500","$116,300",62%
177,Information Technology Management,Bachelors,"$71,900","$116,100",48%
177,International Relations,Bachelors,"$60,500","$116,100",49%
179,Financial Planning,Bachelors,"$61,200","$115,800",59%
180,Computer Engineering Technology (CET),Bachelors,"$71,100","$115,700",45%
180,Corporate Finance,Bachelors,"$72,400","$115,700",40%
182,Engineering Science,Bachelors,"$77,500","$115,600",47%
183,European History,Bachelors,"$59,400","$115,500",41%
184,Rhetoric,Bachelors,"$59,300","$114,900",41%
185,Network Engineering,Bachelors,"$69,400","$114,600",51%
186,Mechanical Design,Bachelors,"$68,400","$114,500",50%
187,Environmental Engineering,Bachelors,"$70,400","$114,400",62%
188,Chinese Language,Bachelors,"$61,000","$114,000",42%
188,Robotics,Bachelors,"$87,900","$114,000",57%
190,Economics & Management,Bachelors,"$61,500","$113,800",47%
191,Computing,Bachelors,"$71,300","$113,600",55%
191,Product Design,Bachelors,"$70,000","$113,600",38%
193,Mechanical Engineering Technology (MET),Bachelors,"$72,300","$113,200",48%
194,Industrial & Labor Relations,Bachelors,"$77,000","$113,000",44%
195,Food Science & Technology,Bachelors,"$59,800","$112,800",49%
196,Accounting & Auditing,Bachelors,"$65,400","$112,700",44%
197,Biochemistry (BCH),Bachelors,"$57,100","$112,600",64%
198,Accounting & Finance,Bachelors,"$66,900","$112,500",46%
198,Agricultural Economics & Business,Bachelors,"$62,100","$112,500",56%
198,Engineering Technology (ET),Bachelors,"$65,800","$112,500",49%
198,Biotechnology,Bachelors,"$61,100","$112,500",62%
202,Dairy Science,Bachelors,"$57,700","$112,200",67%
202,Operations Management (OM),Bachelors,"$69,700","$112,200",44%
202,Web Development,Bachelors,"$61,600","$112,200",43%
